State,SeriesID
California,LAUST060000000000003
Texas,LAUST480000000000003
Florida,LAUST120000000000003
Pennsylvania,LAUST420000000000003
Alabama,LAUST010000000000003
New York,LAUST360000000000003
North Carolina,LAUST370000000000003
Arizona,LAUST040000000000003
Colorado,LAUST080000000000003
Georgia,LAUST130000000000003
New Jersey,LAUST340000000000003
Indiana,LAUST180000000000003
Michigan,LAUST260000000000003
Illinois,LAUST170000000000003
Nevada,LAUST320000000000003
Wisconsin,LAUST550000000000003
Tennessee,LAUST470000000000003
Ohio,LAUST390000000000003
South Carolina,LAUST450000000000003
Rhode Island,LAUST440000000000003
Minnesota,LAUST270000000000003
Arkansas,LAUST050000000000003
Kentucky,LAUST210000000000003
Missouri,LAUST290000000000003
Virginia,LAUST510000000000003
Montana,LAUST300000000000003
New Hampshire,LAUST330000000000003
North Dakota,LAUST380000000000003
South Dakota,LAUST460000000000003
Vermont,LAUST500000000000003
Wyoming,LAUST560000000000003
Maine,LAUST230000000000003
Mississippi,LAUST280000000000003
Nebraska,LAUST310000000000003
New Mexico,LAUST350000000000003
Oklahoma,LAUST400000000000003
Oregon,LAUST410000000000003
Utah,LAUST490000000000003
Washington,LAUST530000000000003
West Virginia,LAUST540000000000003
Puerto Rico,LAUST720000000000003
Alaska,LAUST020000000000003
Connecticut,LAUST090000000000003
Delaware,LAUST100000000000003
District of Columbia,LAUST110000000000003
Hawaii,LAUST150000000000003
Idaho,LAUST160000000000003
Iowa,LAUST190000000000003
Kansas,LAUST200000000000003
Louisiana,LAUST220000000000003
Maryland,LAUST240000000000003
Massachussetts,LAUST250000000000003